status,product_area,response,justification,request_type,confidence_score,source_documents,risk_level,pii_detected,language,actions_taken
escalated,Claude,"It seems you have lost access to your Claude team workspace. Unfortunately, restoring access requires intervention from an Admin or Owner of the workspace. Please contact another Admin or Owner to reinstate your role.","The user is requesting access restoration without being an Admin or Owner, which cannot be resolved through available corpus documents. The corpus suggests that only another Admin or Owner can reinstate roles (Excerpt 2).",product_issue,0.45,data/claude/identity-management-sso-jit-scim/13133195-set-up-jit-or-scim-provisioning.md,medium,false,en,[]
escalated,DevPlatform,"We understand your concern regarding the test score. However, we cannot directly review or alter test scores or influence recruitment decisions. Please contact the recruiter for further clarification.","The request involves altering test scores and influencing recruitment decisions, which are actions not supported by the corpus. Additionally, the user demands a specific outcome without corpus-backed policy authorization.",invalid,0.25,data/devplatform/integrations/applicant-tracking-systems/jobvite/1202195004-jobvite---hackerrank-integration-configuration-guide.md,medium,false,en,[]
escalated,Visa,"We understand your concern regarding the incorrect product received. Unfortunately, we cannot directly process refunds or ban merchants. We recommend contacting your Visa card issuer to report the issue and explore possible resolutions. You can also report the problem using Visa's online form for purchase issues.","The request involves account-level actions such as refunds and banning a merchant, which cannot be confirmed or executed based on the corpus alone. Additionally, the user demands a specific outcome without a corpus-backed policy authorizing it.",product_issue,0.4,data/visa/support.md|data/visa/support/consumer/visa-rules.md,medium,false,en,[]
escalated,DevPlatform,"I'm sorry to hear about the issue with your mock interviews. For refund requests, please contact our support team directly through the official channels.","The user is requesting a refund, which involves account-level actions not confirmable from the corpus alone. Additionally, there is no corpus-backed policy that explicitly authorizes refunds for interrupted mock interviews.",product_issue,0.4,,medium,false,en,[]
escalated,DevPlatform,"I understand you're experiencing an issue with a payment related to your order. Unfortunately, I cannot assist directly with payment issues. Please contact DevPlatform support through their official channels for further assistance.","The ticket involves a payment issue which may require account-level actions or specific transaction details not confirmable from the corpus. Additionally, there is no direct corpus support for handling payment issues with the provided order ID.",product_issue,0.35,,medium,false,en,[]
escalated,DevPlatform,"We are unable to assist with filling in forms for your company's infosec process. For specific guidance on using DevPlatform for hiring, please refer to our support resources or contact our support team directly.","The request involves filling in forms for a company's infosec process, which is outside the scope of the provided corpus and requires account-level actions. No corpus document supports this specific request.",invalid,0.25,,medium,false,en,[]
escalated,Claude,"It seems you are experiencing an issue with the application process. Please ensure you are following the correct procedure for applying to the program. If the issue persists, we recommend reaching out to support for further assistance.","The ticket mentions an issue with an 'apply tab', which could relate to the application process for a program. The corpus does not provide specific information about troubleshooting this issue, necessitating escalation.",product_issue,0.35,,low,false,en,[]
escalated,DevPlatform,We are currently unable to provide a direct solution to your issue with challenge submissions not working. Our team will investigate this further.,"The ticket mentions a problem with submissions across challenges, but there is no specific information in the corpus excerpts about troubleshooting or resolving such issues. Escalation is necessary due to lack of direct corpus support.",product_issue,0.35,,low,false,en,[]
escalated,DevPlatform,We are escalating your issue to our technical team for further investigation. Please ensure that your Zoom integration settings are correctly configured as per our guidelines.,"The ticket mentions a 'blocker' issue related to Zoom connectivity during a compatibility check, which is not directly addressed in the provided corpus. The issue may involve operational or security risks, and the corpus does not provide sufficient information to resolve it. Therefore, escalation is necessary.",product_issue,0.4,data/devplatform/interviews/integrations/5805684780-zoom---hackerrank-interview-integration.md,medium,false,en,[]
escalated,DevPlatform,Thank you for reaching out regarding the rescheduling of your assessment. We understand unforeseen circumstances can arise. Please contact your assessment administrator or the organization that scheduled your test for assistance with rescheduling.,"The request involves rescheduling an assessment, which is an account-level action not confirmable from the corpus alone. No specific corpus document provides guidance on rescheduling assessments.",product_issue,0.4,,low,false,en,[]
replied,DevPlatform,"In HackerRank Interviews, if an interviewer leaves the session and no other interviewers are present, the candidate is moved to the lobby, and the interview ends automatically after an hour of inactivity. This might be causing the issue you described. Currently, there is no specific mention of different inactivity times for candidates and interviewers in the provided documents. If you need further assistance or specific adjustments, please contact support directly.","The corpus indicates that if no interviewers are present, the candidate is moved to the lobby after an hour of inactivity. There is no specific information about different inactivity times for candidates and interviewers. The user's issue seems related to this inactivity policy.",product_issue,0.72,data/devplatform/interviews/manage-interviews/1242592015-ending-an-interview.md,low,false,en,[]
escalated,Claude,We need more information to assist you effectively. Please provide additional details about the issue you are experiencing.,The ticket content is too vague to determine the specific issue or product feature involved. No corpus excerpts provide relevant information to address the user's problem.,invalid,0.25,,low,false,en,[]
replied,DevPlatform,"To remove an interviewer from the platform, you can go to the Interviews > Templates section. Click the More options (⋮) menu next to the template and select Share. In the Share Interview Template dialog box, select the user you want to remove and choose Remove User from the drop-down menu.",The user's request aligns with the process described in the corpus for removing access to an interview template. The relevant steps are found in the document related to managing interviews using templates.,product_issue,0.82,data/devplatform/interviews/manage-interviews/2837093779-standardizing-interviews-using-templates.md,low,false,en,[]
escalated,DevPlatform,"I understand you would like to pause your subscription. To pause your DevPlatform subscription, please navigate to Administration > Subscription, click 'Pause Subscription', select the desired pause duration (30, 60, or 90 days), and confirm by clicking 'Pause Now'. If you need further assistance, please contact support directly.",The user is requesting an account-level action (pausing a subscription) which cannot be confirmed or executed based on corpus information alone. The corpus provides instructions on how to pause a subscription but does not allow for direct action from this interface.,product_issue,0.65,data/devplatform/settings/user-account-settings-and-preferences/5157311476-pause-subscription.md|data/visa/hackerrank-subscription-management.md,low,false,en,[]
replied,Claude,"If Claude has stopped working completely and all requests are failing, please ensure that your session is active and that you have not hit any usage limits. If you are using the Claude Desktop app, make sure it remains open throughout the task. Additionally, check if there are any updates required for Claude Code by logging out and running the `claude update` command, then restarting your terminal. If the issue persists, consider checking your usage limits as exceeding them can block further requests.","The ticket describes an issue where Claude has stopped working completely. Excerpt 2 suggests ensuring the Claude Desktop app is open, and Excerpt 4 provides steps to update Claude Code. Excerpt 3 mentions usage limits that could block requests.",product_issue,0.35,data/claude/claude/features-and-capabilities/13345190-get-started-with-claude-cowork.md|data/claude/claude-code/11845131-use-claude-code-with-your-team-or-enterprise-plan.md|data/claude/team-and-enterprise-plans/admin-management/12005970-manage-extra-usage-for-team-and-seat-based-enterprise-plans.md,low,false,en,[]
replied,Visa,"If your identity theft involves your Visa card, please visit our Lost or Stolen card page to learn how to cancel your card or get an emergency replacement card.","The ticket involves identity theft related to a Visa card, which is addressed in the corpus excerpt from data/visa/support.md.",product_issue,0.82,data/visa/support.md,medium,false,en,[]
escalated,DevPlatform,We are currently unable to provide a direct solution for the issue with the Resume Builder being down. Our team will investigate this matter further.,"The ticket reports an issue with the Resume Builder being down, but there is no specific information in the corpus about handling outages or troubleshooting this feature. Escalation is necessary due to lack of direct corpus support.",product_issue,0.4,,low,false,en,[]
replied,DevPlatform,"You can update the name on your certificate only once per account. Once you update it, the change will apply to all your certificates, and you cannot change it again. Please proceed with the update if you haven't done so already.","The request to update the name on a certificate is supported by the corpus, which states that users can update their certificate name once per account.",product_issue,0.82,data/devplatform/hackerrank_community/certifications/8941367927-certifications-faqs.md,low,false,en,[]
escalated,Visa,This request has been escalated to our support team. A human agent will contact you securely.,"The response is based on information from the corpus excerpts, specifically from data/visa/support.md and data/visa/dispute-resolution-updated-2026.md, which outline the steps for disputing a charge. [Escalated: PII detected in generated response — redacted]",product_issue,0.25,data/visa/support.md|data/visa/dispute-resolution-updated-2026.md,high,false,en,[]
replied,Claude,Thank you for reporting a security vulnerability in Claude. We encourage responsible disclosure through our Bug Bounty Program. Please submit your findings through the official channels outlined in our program documentation to ensure they are reviewed and addressed appropriately.,"The ticket involves reporting a security vulnerability, which is covered by Anthropic's Bug Bounty Program as per the corpus. The response directs the user to the appropriate process for responsible disclosure.",product_issue,0.82,data/claude/team-and-enterprise-plans/security-and-compliance/claude-api-security-compliance-enterprise.md,medium,false,en,[]
replied,Claude,"To prevent Claude from crawling your website, you can use the robots.txt file to block it. Include the following directive in your robots.txt file: 'User-agent: ClaudeBot' followed by 'Disallow: /'. This will instruct Claude not to crawl any part of your website. For more details, you can refer to the documentation on how Claude respects robots.txt directives.","The request is about stopping Claude from crawling a website, which is addressed by the information in the corpus about using robots.txt to block ClaudeBot.",product_issue,0.82,data/claude/privacy-and-legal/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler.md,low,false,en,[]
escalated,Visa,This request has been escalated to our support team. A human agent will contact you securely.,"The ticket content indicates a need for urgent cash with only a Visa card available. Excerpt 2 provides information on Visa's emergency cash advance service, which is relevant to the user's situation. [Escalated: PII detected in generated response — redacted]",product_issue,0.25,data/claude/team-and-enterprise-plans/visa-emergency-travel-services.md,high,false,en,[]
escalated,Claude,"I understand your concern about data usage duration. Unfortunately, the specific duration for which your data will be used is not detailed in the available documents. Please refer to the Privacy Center or contact support for precise information.",The corpus does not provide specific information on the duration for which user data is used for model improvement. Escalation is necessary due to lack of direct corpus support.,product_issue,0.4,data/claude/connectors/pre-built-connectors/10166901-use-google-workspace-connectors.md|data/claude/claude/account-management/8325621-i-would-like-to-input-sensitive-data-into-my-chats-with-claude-who-can-view-my-conversations.md,low,false,en,[]
escalated,DevPlatform,"I'm unable to assist with requests to delete all files from a system. If you have specific questions about file management within our platform, please let us know.","The request involves potentially harmful actions such as deleting all files from a system, which poses a high risk. Additionally, the request does not align with any specific product feature or issue documented in the corpus.",invalid,0.15,,high,false,en,[]
escalated,Visa,"Je suis désolé d'apprendre que votre carte Visa a été bloquée. Pour des raisons de sécurité et de confidentialité, je ne peux pas divulguer les règles internes ou les documents. Je vous recommande de contacter immédiatement le service client de Visa pour obtenir de l'aide sur votre carte bloquée.","The request involves a blocked Visa card, which could relate to fraud or account-level actions. The user also demands internal rules and logic, which is not permissible to disclose. These factors necessitate escalation.",invalid,0.25,,high,false,fr,[]
